panel_name	nando_id	gene_symbol_list
Spinocerebellar degeneration	NANDO:1200037	ABCB7 | AFG3L2 | AHI1 | ANO10 | ATCAY | ATG5 | ATG7 | ATN1 | ATP1A3 | ATP2B3 | ATP8A2 | ATXN1 | ATXN10 | ATXN2 | ATXN3 | ATXN7 | ATXN8 | ATXN8OS | BEAN1 | CA8 | CACNA1A | CACNA1G | CAMTA1 | CC2D2A | CCDC88C | CEP120 | CEP290 | CEP41 | COA7 | COQ8A | CSPP1 | CTDP1 | CWF19L1 | CYP27A1 | DAB1 | DNMT1 | EEF2 | ELOVL4 | ELOVL5 | FAT2 | FGF14 | FLVCR1 | FMR1 | FXN | GBA2 | GDAP2 | GJB1 | GRID2 | GRM1 | IFRD1 | INPP5E | INPP5K | ITPR1 | KCNC3 | KCND3 | KIAA0586 | MKS1 | MME | MTTP | NOP56 | NPTX1 | PDYN | PEX10 | PEX6 | PIK3R5 | PITRM1 | PLD3 | PLEKHG4 | PMPCA | PNKP | PNPT1 | POLG | POU4F1 | PPP2R2B | PRDX3 | PRKCG | PUM1 | RFC1 | RNF168 | RNU12 | RPGRIP1L | RUBCN | SACS | SAMD9L | SCYL1 | SETX | SIL1 | SLC9A1 | SNX14 | SPAST | SPTBN2 | STUB1 | SYNE1 | SYT14 | TBCE | TBP | TDP1 | TDP2 | TGM6 | THG1L | TMEM138 | TMEM216 | TMEM231 | TMEM237 | TMEM240 | TMEM67 | TPP1 | TRPC3 | TTBK2 | TTPA | TUBB2B | TWNK | UBA5 | VLDLR | VPS13D | VPS41 | VWA3B | WDR73 | WDR81 | WWOX | XRCC1 | ZFHX3 | ZNF423 | ZNF592
Sporadic spinocerebellar degeneration	NANDO:1200038	
Cortical cerebellar atrophy	NANDO:1200039	
Autosomal dominant hereditary spinocerebellar degeneration	NANDO:1200040	
Spinocerebellar ataxia type 3	NANDO:1200041	ATXN3
Spinocerebellar ataxia type 6	NANDO:1200042	CACNA1A
Dentatorubropallidoluysian atrophy	NANDO:1200043	ATN1
Spinocerebellar ataxia type 31	NANDO:1200044	BEAN1
Spinocerebellar ataxia type 1	NANDO:1200045	ATXN1
Spinocerebellar ataxia type 2	NANDO:1200046	ATXN2
Spinocerebellar ataxia type 7	NANDO:1200047	
Spinocerebellar ataxia type 36	NANDO:1200048	NOP56
Autosomal recessive hereditary spinocerebellar degeneration	NANDO:1200049	
Ataxia with isolated vitamin E deficiency	NANDO:1200050	TTPA
Ataxia-oculomotor apraxia type 1	NANDO:1200051	APTX
Hereditary spastic paraplegia	NANDO:1200052	ABHD16A | ALDH18A1 | AMFR | AMPD2 | AP4B1 | AP4E1 | AP4M1 | AP4S1 | AP5Z1 | ARL6IP1 | ARSI | ATL1 | ATP13A2 | ATP6 | B4GALNT1 | BSCL2 | C19orf12 | CAPN1 | CCT5 | CPT1C | CYP2U1 | CYP7B1 | DDHD1 | DDHD2 | DSTYK | ENTPD1 | ERLIN1 | ERLIN2 | FA2H | FAR1 | FARS2 | FLRT1 | GBA2 | GJC2 | GPT2 | HACE1 | HPDL | HSPD1 | IBA57 | KIDINS220 | KIF1A | KIF1C | KIF5A | KLC2 | KPNA3 | KY | L1CAM | MAG | MARS1 | MFN2 | MTRFR | NIPA1 | NT5C2 | PCYT2 | PGAP1 | PI4KA | PLP1 | PNPLA6 | RAB3GAP2 | REEP1 | REEP2 | RNF170 | RTN2 | SELENOI | SLC33A1 | SPART | SPAST | SPG11 | SPG21 | SPG7 | SPTAN1 | SPTSSA | TECPR2 | TFG | TMEM63C | UBAP1 | UCHL1 | USP8 | VCP | VPS37A | WASHC5 | WDR48 | ZFR | ZFYVE26 | ZFYVE27
Pure hereditary spastic paraplegia	NANDO:1200053	CPT1C | DDHD1 | ERLIN1 | KPNA3 | REEP2 | RTN2 | SLC33A1 | UBAP1 | WASHC5 | ZFR
Complex hereditary spastic paraplegia	NANDO:1200054	ABHD16A | ALDH18A1 | AMPD2 | ARL6IP1 | ARSI | ATP13A2 | ATP6 | B4GALNT1 | BSCL2 | C19orf12 | CAPN1 | CCT5 | DDHD2 | DSTYK | ENTPD1 | ERLIN2 | FA2H | FAR1 | FLRT1 | GBA2 | GJC2 | GPT2 | HACE1 | IBA57 | KIDINS220 | KIF1C | KLC2 | KY | L1CAM | MAG | MARS1 | MTRFR | NT5C2 | PCYT2 | PGAP1 | PI4KA | PNPLA6 | RAB3GAP2 | RNF170 | SELENOI | SPART | SPG11 | TECPR2 | TFG | USP8 | VCP | VPS37A | WDR48 | ZFYVE26
Lysosomal storage disease	NANDO:1200055	ABHD5 | ACP2 | AGA | AP5Z1 | APOE | ARSA | ARSB | ARSK | ASAH1 | ATP13A2 | CLN3 | CLN5 | CLN6 | CLN8 | CTNS | CTSA | CTSD | CTSF | CTSK | CYP27A1 | DNAJC5 | FUCA1 | GAA | GALC | GALNS | GBA1 | GBA2 | GLA | GLB1 | GM2A | GNE | GNPTAB | GNPTG | GNS | GRN | GUSB | HEXA | HEXB | HGSNAT | HYAL1 | IDS | IDUA | KCTD7 | LAMP2 | LIPA | MAN2B1 | MANBA | MCOLN1 | MFSD8 | NAGA | NAGLU | NEU1 | NPC1 | NPC2 | PNPLA2 | PPT1 | PSAP | SCARB2 | SGSH | SLC17A5 | SMPD1 | SUMF1 | TPP1
Gaucher disease	NANDO:1200056	GBA1 | SCARB2
Gaucher disease type 1	NANDO:1200057	GBA1 | SCARB2
Gaucher disease type 2	NANDO:1200058	GBA1
Gaucher disease type 3	NANDO:1200059	GBA1
Niemann-Pick disease types A and B/Acid sphingomyelinase deficiency	NANDO:1200060	
Niemann-Pick disease type A	NANDO:1200061	SMPD1
Niemann-Pick disease type B	NANDO:1200062	SMPD1
Niemann-Pick disease type C	NANDO:1200063	NPC1 | NPC2
Infantile-onset Niemann-Pick disease type C	NANDO:1200064	
Adult-onset Niemann-Pick disease type C	NANDO:1200065	NPC1 | NPC2
GM1 gangliosidosis	NANDO:1200066	GLB1
Infantile GM1 gangliosidosis	NANDO:1200067	GLB1
Juvenile GM1 gangliosidosis	NANDO:1200068	GLB1
Adult GM1 gangliosidosis	NANDO:1200069	GLB1
GM2 gangliosidosis	NANDO:1200070	GM2A | HEXA | HEXB
Tay-Sachs disease	NANDO:1200071	HEXA
Sandhoff disease	NANDO:1200072	HEXB
GM2 gangliosidosis AB variant	NANDO:1200073	GM2A
Krabbe disease	NANDO:1200074	GALC | PSAP
Infantile Krabbe disease	NANDO:1200075	GALC | PSAP
Juvenile Krabbe disease	NANDO:1200076	
Adult Krabbe disease	NANDO:1200077	GALC
Metachromatic leukodystrophy	NANDO:1200078	ARSA | PSAP
Late infantile metachromatic leukodystrophy	NANDO:1200079	ARSA | PSAP
Juvenile ｍetachromatic leukodystrophy	NANDO:1200080	ARSA | PSAP
Adult metachromatic leukodystrophy	NANDO:1200081	ARSA | PSAP
Saposin B deficiency	NANDO:1200082	PSAP
Multiple sulfatase deficiency	NANDO:1200083	SUMF1
Neonatal multiple sulfatase deficiency	NANDO:1200084	
Late-infantile multiple sulfatase deficiency	NANDO:1200085	
Farber disease	NANDO:1200086	ASAH1
Type 1 Farber disease	NANDO:1200087	
Type 2 Farber disease	NANDO:1200088	
Type 3 Farber disease	NANDO:1200089	
Type 4 Farber disease	NANDO:1200090	
Type 5 Farber disease	NANDO:1200091	
Type 6 Farber disease	NANDO:1200092	
Type 7 Farber disease	NANDO:1200093	
Hurler disease	NANDO:1200094	IDUA
Scheie disease	NANDO:1200095	IDUA
Hurler-Scheie disease	NANDO:1200096	IDUA
Hunter syndrome	NANDO:1200097	IDS
Hunter syndrome type A	NANDO:1200098	IDS
Hunter syndrome type B	NANDO:1200099	IDS
Sanfilippo disease	NANDO:1200100	GNS | HGSNAT | NAGLU | SGSH
Sanfilippo disease type A	NANDO:1200101	SGSH
Sanfilippo disease type B	NANDO:1200102	NAGLU
Sanfilippo disease type C	NANDO:1200103	HGSNAT
Sanfilippo disease type D	NANDO:1200104	GNS
Morquio syndrome	NANDO:1200105	GALNS | GLB1
Morquio syndrome type A	NANDO:1200106	GALNS
Morquio syndrome type B	NANDO:1200107	GLB1
Maroteaux-Lamy syndrome	NANDO:1200108	ARSB
Maroteaux Lamy syndrome, rapidly progressing form	NANDO:1200109	
Maroteaux Lamy syndrome, slowly progressing form	NANDO:1200110	
Sly syndrome	NANDO:1200111	GUSB
Sly syndrome, neonatal form	NANDO:1200112	
Sly syndrome, intermediate form	NANDO:1200113	
Sly syndrome, mild form	NANDO:1200114	
Hyaluronidase deficiency	NANDO:1200115	HYAL1
Sialidosis	NANDO:1200116	NEU1
Sialidosis type 1	NANDO:1200117	NEU1
Sialidosis type 2	NANDO:1200118	NEU1
Galactosialidosis	NANDO:1200119	CTSA
Galactosialidosis, early infantile form	NANDO:1200120	
Galactosialidosis, late infantile form	NANDO:1200121	
Galactosialidosis, juvenile/adult form	NANDO:1200122	
Mucolipidosis II, III	NANDO:1200123	
Mucolipidosis II	NANDO:1200124	GNPTAB
Mucolipidosis III	NANDO:1200125	GNPTAB
