panel_name	nando_id	gene_symbol_list
Epidermolysis bullosa simplex	NANDO:1200235	CD151 | DSP | DST | EXPH5 | ITGB4 | JUP | KLHL24 | KRT14 | KRT5 | PKP1 | PLEC
Junctional epidermolysis bullosa	NANDO:1200236	COL17A1 | ITGA3 | ITGA6 | ITGB4 | LAMA3 | LAMB3 | LAMC2 | PLEC
Dominant dystrophic epidermolysis bullosa	NANDO:1200237	
Recessive dystrophic epidermolysis bullosa	NANDO:1200238	COL7A1 | MMP1
Kindler syndrome	NANDO:1200239	FERMT1
Pustular psoriasis	NANDO:1200240	AP1S3 | IL36RN
Acute generalized pustular psoriasis	NANDO:1200241	
Childhood generalized pustular psoriasis	NANDO:1200242	
Impetigo herpetiformis	NANDO:1200243	
Acrodermatitis continua of Hallopeau	NANDO:1200244	AP1S3 | IL36RN
Stevens-Johnson syndrome	NANDO:1200245	HLA-A | HLA-B | IKZF1
Toxic epidermal necrolysis	NANDO:1200246	HLA-A | HLA-B | IKZF1
Toxic epidermal necrolysis with spots	NANDO:1200247	
Toxic epidermal necrolysis without spots	NANDO:1200248	
Toxic epidermal necrolysis (particular form)	NANDO:1200249	
Toxic epidermal necrolysis (abortive form)	NANDO:1200250	
Takayasu arteritis	NANDO:1200251	HLA-B | IL12B | MLX
Type I Takayasu arteritis	NANDO:1200252	
Type II a Takayasu arteritis	NANDO:1200253	
Type II b Takayasu arteritis	NANDO:1200254	
Type III Takayasu arteritis	NANDO:1200255	
Type IV Takayasu arteritis	NANDO:1200256	
Type V Takayasu arteritis	NANDO:1200257	
Giant cell arteritis	NANDO:1200258	HLA-B | HLA-DRB1 | P4HA2 | PTPN22
Cranial giant cell arteritis	NANDO:1200259	
Large-vessel giant cell arteritis	NANDO:1200260	
Polyarteritis nodosa	NANDO:1200261	
Microscopic polyangiitis	NANDO:1200262	
Granulomatosis with polyangiitis	NANDO:1200263	CTLA4 | HLA-DPA1 | HLA-DPB1 | PRTN3 | PTPN22
Eosinophilic granulomatosis with polyangiitis	NANDO:1200264	
Rheumatoid vasculitis	NANDO:1200265	
Buerger's disease	NANDO:1200266	
Primary antiphospholipid antibody syndrome	NANDO:1200267	
Arterial thrombosis in antiphospholipid syndrome	NANDO:1200268	
Antiphospholipid antibody syndrome during pregnancy	NANDO:1200269	
Catastrophic antiphospholipid syndrome	NANDO:1200270	
Antiphospholipid antibody-related disease	NANDO:1200271	
Systemic lupus erythematosus	NANDO:1200272	BANK1 | BLK | C1QA | C1R | C4A | C4B | CR2 | CTLA4 | DNASE1 | DNASE1L3 | ETS1 | FCGR2A | FCGR2B | FCGR3B | HLA-DRB1 | IGHG1 | IL10 | IRAK1 | IRF5 | ITGAM | JAZF1 | KIAA0319L | MECP2 | PDCD1 | PRKCD | PTPN22 | PXK | SAT1 | SPP1 | STAT4 | TLR7 | TNFAIP3 | TNFSF4 | TNIP1 | TREX1 | UBE2L3
Dermatomyositis/Polymyositis	NANDO:1200273	
Dermatomyositis	NANDO:1200274	
Amyopathic dermatomyositis	NANDO:1200275	
Polymyositis	NANDO:1200276	
Systemic sclerosis	NANDO:1200277	CAV1 | CCN2 | CCR6 | HLA-DRB1 | IRF5 | KIAA0319L
Mixed connective tissue disease	NANDO:1200278	
Sjogren's syndrome	NANDO:1200279	
Primary Sjogren's syndrome	NANDO:1200280	
Secondary Sjogren's syndrome	NANDO:1200281	
Adult-onset Still disease	NANDO:1200282	
Relapsing polychondritis	NANDO:1200283	
Behcet's disease	NANDO:1200284	C4A | CCR1 | ERAP1 | FAS | HLA-B | IFNGR1 | IL10 | IL12A | IL12A-AS1 | IL23R | KLRC4 | MEFV | STAT4 | TLR4 | UBAC2
Idiopathic dilated cardiomyopathy	NANDO:1200285	
Hypertrophic cardiomyopathy	NANDO:1200286	A2ML1 | ACADVL | ACTC1 | AKR1C2 | AKR1C4 | ALPK3 | BRAF | CAV3 | CBL | CBX2 | CDKN1C | CORIN | CSRP3 | DHH | DHX37 | DMPK | DMRT1 | ETFA | ETFB | ETFDH | FHOD3 | FLAD1 | FLNC | H19 | HADHA | HRAS | IGF2 | JPH2 | KCNQ1 | KCNQ1OT1 | KLHL24 | KRAS | LDB3 | LZTR1 | MAP2K1 | MAP2K2 | MAP3K1 | MAPK1 | MRAS | MYBPC3 | MYH6 | MYH7 | MYL2 | MYL3 | MYLK2 | MYO6 | MYOZ2 | MYPN | NEXN | NR0B1 | NR5A1 | NRAS | NSD1 | PLN | PPP1CB | PRKAG2 | PTPN11 | RAF1 | RASA2 | RIT1 | RRAS | RRAS2 | SHOC2 | SLC25A3 | SLC25A32 | SOS1 | SOS2 | SOX9 | SPRED1 | SPRED2 | SRY | TCAP | TNNC1 | TNNI3 | TNNT2 | TPM1 | TTN | VCL | WT1 | ZFPM2
Hypertrophic non-obstructive cardiomyopathy	NANDO:1200287	
Hypertrophic obstructive cardiomyopathy	NANDO:1200288	
Mid-ventricular obstructive hypertrophic cardiomyopathy	NANDO:1200289	
Apical hypertrophic cardiomyopathy	NANDO:1200290	
Dilated phase of hypertrophic cardiomyopathy	NANDO:1200291	
Restrictive cardiomyopathy	NANDO:1200292	ETV6 | FGFR1 | FIP1L1 | GAA | GBA1 | GJA5 | IDUA | KIF20A | MYPN | NPPA | PDGFRA | PDGFRB | SAA1 | SCARB2 | SCN5A | TNNI3 | TNNT2 | TTR
Idiopathic restrictive cardiomyopathy	NANDO:1200293	
Secondary restrictive cardiomyopathy	NANDO:1200294	ETV6 | FGFR1 | FIP1L1 | PDGFRA | PDGFRB | SAA1
Aplastic anemia	NANDO:1200295	ADA2 | BRCA1 | BRCA2 | BRIP1 | CALR | ERCC4 | ERCC6L2 | FANCA | FANCB | FANCC | FANCD2 | FANCE | FANCF | FANCG | FANCI | FANCL | FANCM | GATA1 | HEATR3 | IFNG | JAK2 | MAD2L2 | MPL | NBN | PALB2 | PIGA | PIGT | POC1A | PRF1 | RAD51 | RAD51C | RFWD3 | RPL11 | RPL15 | RPL18 | RPL26 | RPL27 | RPL31 | RPL35 | RPL35A | RPL5 | RPL8 | RPL9 | RPS10 | RPS15A | RPS17 | RPS19 | RPS20 | RPS24 | RPS26 | RPS27 | RPS28 | RPS29 | RPS7 | SBDS | SH2B3 | SLX4 | SRP72 | TERC | TERT | TET2 | TSR2 | UBE2T | XRCC2 | XRCC4
Idiopathic aplastic anemia	NANDO:1200296	IFNG | NBN | PRF1 | SBDS | TERC | TERT
Secondary aplastic anemia	NANDO:1200297	
Atypical aplastic anemia	NANDO:1200298	
Hepatitis-associated aplastic anemia	NANDO:1200299	
Aplastic anemia-paroxysmal nocturnal hemoglobinuria syndrome	NANDO:1200300	
Borderline between aplastic anemia and MDS	NANDO:1200301	
Congenital aplastic anemia	NANDO:1200302	ADA2 | BRCA1 | BRCA2 | BRIP1 | ERCC4 | ERCC6L2 | FANCA | FANCB | FANCC | FANCD2 | FANCE | FANCF | FANCG | FANCI | FANCL | FANCM | GATA1 | HEATR3 | MAD2L2 | PALB2 | POC1A | RAD51 | RAD51C | RFWD3 | RPL11 | RPL15 | RPL18 | RPL26 | RPL27 | RPL31 | RPL35 | RPL35A | RPL5 | RPL8 | RPL9 | RPS10 | RPS15A | RPS17 | RPS19 | RPS20 | RPS24 | RPS26 | RPS27 | RPS28 | RPS29 | RPS7 | SLX4 | SRP72 | TSR2 | UBE2T | XRCC2 | XRCC4
Fanconi anemia	NANDO:1200303	
Dyskeratosis congenita	NANDO:1200304	ACD | CTC1 | DCLRE1B | DKC1 | NHP2 | NOP10 | NPM1 | PARN | RTEL1 | TERC | TERT | TINF2 | TYMS | USB1 | WRAP53
Autoimmune hemolytic anemia	NANDO:1200305	
Warm antibody hemolytic anemia	NANDO:1200306	
Cold agglutinin disease	NANDO:1200307	
Paroxysmal cold hemoglobinuria	NANDO:1200308	
Mixed-type autoimmune hemolytic anemia	NANDO:1200309	
Evans syndrome	NANDO:1200310	
Paroxysmal nocturnal hemoglobinuria	NANDO:1200311	
Classical paroxysmal nocturnal hemoglobinuria	NANDO:1200312	
Paroxysmal nocturnal hemoglobinuria in the setting of another specified bone marrow disorder	NANDO:1200313	
Mixed type paroxysmal nocturnal hemoglobinuria	NANDO:1200314	
Idiopathic thrombocytopenic purpura	NANDO:1200315	FCGR2C
Thrombotic thrombocytopenic purpura	NANDO:1200316	ADAMTS13
Congenital thrombotic thrombocytopenic purpura	NANDO:1200317	ADAMTS13
Acquired idiopathic thrombotic thrombocytopenic purpura	NANDO:1200318	
Secondary thrombotic thrombocytopenic purpura	NANDO:1200319	
Primary immunodeficiency syndrome	NANDO:1200320	ADAR | AICDA | AP3B1 | ATP6AP1 | BCL10 | BCL11B | BLNK | BLOC1S6 | BTK | C1QA | C1QB | C1QC | C1R | C1S | C2 | C3 | C4A | C4B | C5 | C6 | C7 | C8A | C8B | C8G | C9 | CARD11 | CASP10 | CASP8 | CD19 | CD27 | CD40 | CD40LG | CD46 | CD70 | CD79A | CD79B | CD81 | CFB | CFD | CFH | CFI | CFP | CLEC7A | CR2 | CTLA4 | CYBA | CYBB | CYBC1 | DGKE | DOCK8 | ELF4 | ERBIN | EXTL3 | FAS | FASLG | FCGR3A | FCN3 | ICOS | IFIH1 | IFNAR2 | IFNGR2 | IGHG2 | IGHM | IGKC | IGLL1 | IKBKG | IKZF1 | IL10 | IL10RA | IL10RB | IL17F | IL17RA | IL17RC | IL21 | IL6R | IL6ST | IRF2BP2 | IRF7 | ITK | KNSTRN | KRAS | LRBA | LRRC8A | LSM11 | LYST | MASP2 | MBL2 | MS4A1 | MSN | MYSM1 | NCF1 | NCF2 | NCF4 | NFAT5 | NFKB1 | NFKB2 | NFKBIA | NKX2-5 | NRAS | PIK3CD | PIK3R1 | PRF1 | PRKCD | PTEN | RAB27A | RASGRP1 | RC3H1 | RHOH | RIPK1 | RMRP | RNASEH2A | RNASEH2B | RNASEH2C | RNU7-1 | RPSA | SAMHD1 | SEC61A1 | SERPING1 | SH2D1A | SH3KBP1 | SKIC2 | SKIC3 | SLC39A7 | SMARCAL1 | SP110 | SPI1 | SPINK5 | STAT1 | STAT2 | STAT3 | STAT6 | STX11 | STXBP2 | TCF3 | THBD | TNFRSF13B | TNFRSF13C | TNFSF12 | TOM1 | TRAF3IP2 | TREX1 | UNC13D | UNG | XIAP | ZNF341
X-linked severe combined immunodeficiency	NANDO:1200321	IL2RG
Reticular dysgenesis	NANDO:1200322	AK2
Adenosine deaminase deficiency	NANDO:1200323	ADA
Omenn syndrome	NANDO:1200324	ADA | CHD7 | DCLRE1C | IL2RG | IL7R | LIG4 | RAG1 | RAG2 | RMRP
Purine nucleoside phosphorylase deficiency	NANDO:1200325	PNP
CD8 deficiency	NANDO:1200326	CD8A
Zap-70 deficiency	NANDO:1200327	ZAP70
MHC class I deficiency	NANDO:1200328	B2M | TAP1 | TAP2 | TAPBP
MHC class II deficiency	NANDO:1200329	CIITA | RFX5 | RFXANK | RFXAP
Wiskott-Aldrich syndrome	NANDO:1200330	WAS | WIPF1
Ataxia telangiectasia	NANDO:1200331	ATM
Nijmegen breakage syndrome	NANDO:1200332	NBN
Bloom syndrome	NANDO:1200333	BLM
ICF syndrome	NANDO:1200334	CDCA7 | DNMT3B | HELLS | UHRF1 | ZBTB24
PMS2 deficiency	NANDO:1200335	
RIDDLE syndrome	NANDO:1200336	RNF168
Schimke syndrome	NANDO:1200337	SMARCAL1
Netherton syndrome	NANDO:1200338	SPINK5
Thymus hypoplasia	NANDO:1200339	
Hyper-IgE syndrome	NANDO:1200340	DOCK8 | ERBIN | IL6R | IL6ST | SPINK5 | STAT3 | STAT6 | ZNF341
Hepatic veno-occlusive disease with immunodeficiency	NANDO:1200341	SP110
obsolete Dyskeratosis congenita	NANDO:1200342	
X-linked agammaglobulinemia	NANDO:1200343	BTK
Common variable immunodeficiency	NANDO:1200344	CD19 | CD81 | CR2 | ICOS | IKZF1 | IL21 | IRF2BP2 | LRBA | MS4A1 | NFKB1 | NFKB2 | PRKCD | SEC61A1 | TNFRSF13B | TNFRSF13C | TNFSF12
Hyper-IgM syndrome	NANDO:1200345	AICDA | CD40 | CD40LG | UNG
IgG subclass deficiency	NANDO:1200346	
Selective IgA deficiency	NANDO:1200347	TNFRSF13B
Specific antibody deficiency with normal Ig concentrations and normal numbers of B cells	NANDO:1200348	
Transient hypogammaglobulinemia of infancy with normal numbers of B cells	NANDO:1200349	
Chédiak-Higashi syndrome	NANDO:1200350	LYST
X-linked lymphoproliferative syndrome	NANDO:1200351	SH2D1A | XIAP
Autoimmune lymphoproliferative syndrome	NANDO:1200352	CASP10 | CASP8 | CTLA4 | FAS | FASLG | KRAS | NRAS | PRKCD | RASGRP1
Severe congenital neutropenia	NANDO:1200353	CLPB | CSF3R | CXCR2 | ELANE | G6PC3 | GFI1 | HAX1 | JAGN1 | RBSN | SEC61A1 | SRP19 | SRP54 | SRP68 | TCIRG1 | VPS45 | WAS
Cyclic neutropenia	NANDO:1200354	ELANE
Leukocyte adhesion deficiency	NANDO:1200355	FERMT3 | ITGB2 | SLC35C1
Shwachman-Diamond syndrome	NANDO:1200356	DNAJC21 | EFL1 | SBDS | SRP54
Chronic granulomatous disease	NANDO:1200357	CYBA | CYBB | CYBC1 | NCF1 | NCF2 | NCF4
Myeloperoxidase deficiency	NANDO:1200358	MPO
Mendelian susceptibility to mycobacterial disease	NANDO:1200359	CYBB | IFNGR1 | IFNGR2 | IL12B | IL12RB1 | IRF8 | ISG15 | RORC | STAT1
Anhidrotic ectodermal dysplasia with immunodeficiency	NANDO:1200360	IKBKG | NFKBIA
IRAK4 deficiency	NANDO:1200361	IRAK4
MyD88 deficiency	NANDO:1200362	MYD88
Chronic mucocutaneous candidiasis	NANDO:1200363	CLEC7A | IL17F | IL17RA | IL17RC | STAT1 | TOM1 | TRAF3IP2
Inherited deficiency of complement system	NANDO:1200364	C1QA | C1QB | C1QC | C1R | C1S | C2 | C3 | C4A | C4B | C5 | C6 | C7 | C8A | C8B | C8G | C9 | CD46 | CFB | CFD | CFH | CFI | DGKE | FCN3 | MASP2 | MBL2 | SERPING1 | THBD
Hereditary angioedema	NANDO:1200365	ANGPT1 | F12 | HS3ST6 | KNG1 | MYOF | PLG | SERPING1
IgA nephropathy	NANDO:1200366	
Polycystic kidney disease	NANDO:1200367	ALG5 | ALG9 | BICC1 | DNAJB11 | DZIP1L | GANAB | IFT140 | PKD1 | PKD2 | PKHD1
Autosomal dominant polycystic kidney disease	NANDO:1200368	ALG5 | ALG9 | BICC1 | DNAJB11 | GANAB | IFT140 | PKD1 | PKD2
Autosomal recessive polycystic kidney disease	NANDO:1200369	DZIP1L | PKD1 | PKHD1
Ossification of ligamentum flavum	NANDO:1200370	
Ossification of posterior longitudinal ligament	NANDO:1200371	
Coexisting cervical and lumbar spinal stenosis	NANDO:1200372	
Idiopathic osteonecrosis of femoral head	NANDO:1200373	COL2A1 | TRPV4
Diencephalo-hypophysial insufficiency-inappropriate ADH syndrome	NANDO:1200374	
Central diabetes insipidus	NANDO:1200375	AVP
Syndrome of inappropriate secretion of antidiuretic hormone	NANDO:1200376	
Diencephalo-hypophysial insufficiency-inappropriate thyroid stimulating hormone syndrome	NANDO:1200377	CDH23
Diencephalo-hypophysial insufficiency-inappropriate prolactin syndrome	NANDO:1200378	AIP | CDH23 | MEN1
Cushing disease	NANDO:1200379	AIP | ATRX | BRAF | CDH23 | NR3C1 | TP53 | USP48 | USP8
Diencephalo-hypophysial dysfunction-syndrome of abnormal secretion of gonadotropin	NANDO:1200380	
Central precocious puberty	NANDO:1200381	DLK1 | KISS1 | KISS1R | MKRN3
obsolete Idiopathic hypogonadotropic hypogonadism	NANDO:1200382	
obsolete Congenital hypogonadotropic hypogonadism	NANDO:1200383	
obsolete Acquired hypogonadotropic hypogonadism	NANDO:1200384	
Growth hormone secreting pituitary adenoma	NANDO:1200385	
Diencephalo-hypophysial dysfunction-syndrome of abnormal secretion of growth hormone	NANDO:1200386	
Hypopituitarism syndrome	NANDO:1200387	ARNT2 | BTK | ELF4 | FGFR1 | FOXA2 | GH1 | GHRHR | GLI2 | HESX1 | LHX3 | LHX4 | OTX2 | POU1F1 | PROKR2 | PROP1 | RNPC3 | ROBO1 | SOX2 | SOX3 | TBX19
Hypogonadotropic hypogonadism	NANDO:1200388	ANOS1 | ARNT2 | AXL | BTK | CCDC141 | CHD7 | CPE | DCAF17 | DCC | DMXL2 | DUSP6 | ELF4 | FEZF1 | FGF17 | FGF8 | FGFR1 | FLRT3 | FOXA2 | FSHB | GH1 | GHRHR | GLI2 | GNRH1 | GNRHR | HERC2 | HESX1 | HS6ST1 | IL17RD | IPW | KISS1 | KISS1R | LEP | LEPR | LHB | LHX3 | LHX4 | MAGEL2 | MKRN3 | NDN | NDNF | NHLH2 | NPAP1 | NR0B1 | NSMF | OCA2 | OTX2 | PCSK1 | PNPLA6 | POU1F1 | PROK2 | PROKR2 | PROP1 | PWAR1 | PWRN1 | RAB3GAP1 | RAB3GAP2 | RBM28 | RNF216 | RNPC3 | ROBO1 | SEMA3A | SEMA3E | SIM1 | SMCHD1 | SNORD115-1 | SNORD116-1 | SNRPN | SOX10 | SOX2 | SOX3 | SPRY4 | SRA1 | TAC3 | TACR3 | TBX19 | TCF12 | WDR11
Syndrome of abnormal secretion of adrenocorticotropic hormone	NANDO:1200389	
Thyroid-stimulating hormone deficiency	NANDO:1200390	HESX1 | IGSF1 | LHX3 | LHX4 | POU1F1 | PROP1 | TRH | TRHR | TSHB
Growth hormone secretion deficiency of dwarfism	NANDO:1200391	
Adult growth hormone deficiency	NANDO:1200392	
Syndrome of abnormal secretion of prolactin	NANDO:1200393	
Homozygous familial hypercholesterolemia	NANDO:1200394	ABCG5 | ABCG8 | APOB | LDLR | LDLRAP1 | PCSK9
Resistance to thyroid hormone	NANDO:1200395	FOXE1 | NKX2-1 | NKX2-5 | PAX8 | SLC26A4 | THRA | THRB | TSHR
Congenital adrenal enzyme deficiency	NANDO:1200396	
Congenital lipoid adrenal hyperplasia	NANDO:1200397	CYP11B1 | CYP17A1 | CYP21A2 | HSD3B2 | POR | STAR
3-β-Hydroxysteroid dehydrogenase deficiency	NANDO:1200398	HSD3B2
21-Hydroxylase deficiency	NANDO:1200399	CYP21A2
11-β-Hydroxylase deficiency	NANDO:1200400	CYP11B1
17-α-Hydroxylase deficiency	NANDO:1200401	CYP17A1
P450 oxidoreductase deficiency	NANDO:1200402	POR
Congenital adrenal hypoplasia	NANDO:1200403	
NR0B1　abnormality	NANDO:1200404	NR0B1
NR5A1 abnormality	NANDO:1200405	NR5A1
IMAge syndrome	NANDO:1200406	CDKN1C | POLE
obsolete ACTH unresponsiveness	NANDO:1200407	
obsolete MC2R deficiency	NANDO:1200408	
obsolete MRAP deficiency	NANDO:1200409	
Allgrove syndrome	NANDO:1200410	AAAS | GMPPA | TRAPPC11
Addison's disease	NANDO:1200411	AAAS | CYP11A1 | CYP11B1 | CYP17A1 | CYP21A2 | GMPPA | HSD3B2 | MC2R | MRAP | NNT | NR0B1 | POR | STAR | TRAPPC11 | TXNRD2
Autoimmune Addison's disease	NANDO:1200412	
Tuberculous Addison's disease	NANDO:1200413	
Infectious Addison's disease	NANDO:1200414	
Sarcoidosis	NANDO:1200415	BTNL2 | HLA-DRB1 | NOD2
Idiopathic interstitial pneumonia	NANDO:1200416	ABCA3 | ATP11A | DPP9 | DSP | FAM13A | MUC5B | PARN | RTEL1 | SFTPA1 | SFTPA2 | SFTPC | STN1 | TERC | TERT
Idiopathic pulmonary fibrosis	NANDO:1200417	
Interstitial pneumonia other than IPF	NANDO:1200418	
Non-specific interstitial pneumonia	NANDO:1200419	
Acute interstitial pneumonia	NANDO:1200420	
Cryptogenic organizing pneumonia	NANDO:1200421	
Desquamative interstitial pneumonia	NANDO:1200422	
Respiratory bronchiolitis-associated interstitial lung disease	NANDO:1200423	
Lymphoid interstitial pneumonia	NANDO:1200424	
Pulmonary arterial hypertension	NANDO:1200425	ACVRL1 | ATP13A3 | BMPR2 | CAPNS1 | CAV1 | EIF2AK4 | ENG | GDF2 | KCNK3 | KDR | SMAD9 | SOX17 | TBX4
Pulmonary veno-occlusive disease / pulmonary capillary hemangiomatosis	NANDO:1200426	EIF2AK4
Pulmonary veno-occlusive disease	NANDO:1200427	BMPR2 | EIF2AK4
Pulmonary capillary hemangiomatosis	NANDO:1200428	
Chronic thromboembolic pulmonary hypertension	NANDO:1200429	
Lymphangioleiomyomatosis	NANDO:1200430	TSC1 | TSC2
Retinitis pigmentosa	NANDO:1200431	ABCA4 | AGBL5 | AHI1 | AHR | AIPL1 | ARHGEF18 | ARL2BP | ARL3 | ARL6 | BBS1 | BBS2 | BEST1 | CA4 | CC2D2A | CDHR1 | CERKL | CFAP418 | CLCC1 | CLRN1 | CNGA1 | CNGB1 | CRB1 | CRX | DHDDS | DHX38 | EYS | FAM161A | FSCN2 | GUCA1B | HGSNAT | HK1 | HKDC1 | IDH3A | IDH3B | IFT140 | IFT172 | IFT43 | IFT88 | IMPDH1 | IMPG1 | IMPG2 | KIAA1549 | KIZ | KLHL7 | LRAT | MAK | MERTK | NEK2 | NR2E3 | NRL | OFD1 | PCARE | PDE6A | PDE6B | PDE6G | POMGNT1 | PRCD | PROM1 | PRPF3 | PRPF31 | PRPF4 | PRPF6 | PRPF8 | PRPH2 | RAX2 | RBP3 | RDH12 | REEP6 | RGR | RHO | RLBP1 | ROM1 | RP1 | RP1L1 | RP2 | RP9 | RPE65 | RPGR | SAG | SCAPER | SEMA4A | SLC7A14 | SNRNP200 | SPATA7 | TOPORS | TTC8 | TUB | TULP1 | USH2A | VWA8 | ZNF408 | ZNF513
Sporadic retinitis pigmentosa	NANDO:1200432	
Autosomal dominant retinitis pigmentosa	NANDO:1200433	
Autosomal recessive retinitis pigmentosa	NANDO:1200434	
X-linked recessive retinitis pigmentosa	NANDO:1200435	
Digenic retinitis pigmentosa	NANDO:1200436	
Budd-Chiari syndrome	NANDO:1200437	CALR | F5 | JAK2
Idiopathic portal hypertension	NANDO:1200438	
Primary biliary cholangitis	NANDO:1200439	IL12A | IL12RB1 | IRF5 | MMEL1 | POU2AF1 | SPIB | TNFSF15 | TNPO3
Primary sclerosing cholangitis	NANDO:1200440	GPR35 | MST1 | SEMA4D | TCF4
Autoimmune hepatitis	NANDO:1200441	
Typical autoimmune hepatitis	NANDO:1200442	
Atypical autoimmune hepatitis	NANDO:1200443	
Crohn's disease	NANDO:1200444	
small bowel Crohn disease	NANDO:1200445	
Colonic Crohn's disease	NANDO:1200446	
Crohn ileocolitis	NANDO:1200447	
Atypical Crohn's disease	NANDO:1200448	
Ulcerative colitis	NANDO:1200449	
Pan-ulcerative colitis	NANDO:1200450	
Left-sided colitis	NANDO:1200451	
Ulcerative proctitis	NANDO:1200452	
Right-sided ulcerative colitis	NANDO:1200453	
Eosinophilic gastrointestinal disorders	NANDO:1200454	
Neonatal food-protein induced enterocolitis	NANDO:1200455	
Eosinophilic esophagitis	NANDO:1200456	
Eosinophilic gastroenteritis	NANDO:1200457	
Chronic idiopathic intestinal pseudo-obstruction	NANDO:1200458	ACTG2 | ERBB3 | FLNA
Megacystis-microcolon-intestinal hypoperistalsis syndrome	NANDO:1200459	
Congenital isolated hypoganglionosis	NANDO:1200460	
Rubinstein-Taybi syndrome	NANDO:1200461	CREBBP | EP300
CFC Syndrome	NANDO:1200462	BRAF | KRAS | MAP2K1 | MAP2K2
Costello syndrome	NANDO:1200463	HRAS
CHARGE syndrome	NANDO:1200464	CHD7 | SEMA3E
Cryopyrin-associated periodic syndrome	NANDO:1200465	NLRC4 | NLRP12 | NLRP3 | PLCG2
Familial cold autoinflammatorysyndrome	NANDO:1200466	NLRC4 | NLRP12 | NLRP3 | PLCG2
Muckle-Wells syndrome	NANDO:1200467	NLRP3
Chronic infantile neurological cutaneous articular syndrome	NANDO:1200468	NLRP3
Juvenile idiopathic arthritis	NANDO:1200469	ANKRD55 | CD247 | HLA-DRB1 | IL2RA | IL2RB | IL6 | LACC1 | MIF | PTPN2 | PTPN22 | STAT4
Systemic juvenile idiopathic arthritis	NANDO:1200470	HLA-DRB1 | IL6 | LACC1 | MIF
Articular-type juvenile idiopathic arthritis	NANDO:1200471	ANKRD55 | CD247 | IL2RA | IL2RB | PTPN2 | PTPN22 | STAT4
TNF receptor-associated periodic fever syndrome	NANDO:1200472	TNFRSF1A
Atypical hemolytic uremic syndrome	NANDO:1200473	C3 | CD46 | CFB | CFH | CFI | DGKE | THBD
Congenital atypical hemolytic uremic syndrome	NANDO:1200474	
Acquired aHUS	NANDO:1200475	
Blau syndrome	NANDO:1200476	NOD2
Congenital myopathy	NANDO:1200477	ACTA1 | ACTN2 | AMPD1 | AMPD3 | BAG3 | BIN1 | CACNA1S | CASQ1 | CCDC174 | CCDC78 | CFL2 | CHCHD10 | CNTN1 | COA5 | COA6 | COL12A1 | COL6A1 | COL6A2 | COL6A3 | COX1 | COX15 | COX2 | COX3 | CRYAB | CYTB | DES | DGUOK | DNA2 | DNAJB4 | DNM2 | ELAC2 | FDX2 | FHL1 | FLNC | FOXRED1 | FXR1 | GFER | HACD1 | HADHA | HADHB | HSPB8 | ITGA7 | KBTBD13 | KLHL40 | KLHL41 | KY | LDB3 | LIG3 | LMOD3 | MAMLD1 | MAP3K20 | MEGF10 | MSTO1 | MTM1 | MTMR14 | MYBPC1 | MYF6 | MYH2 | MYH7 | MYL1 | MYL2 | MYO18B | MYOD1 | MYOT | MYPN | ND1 | ND4 | ND5 | ND6 | NDUFA1 | NDUFS1 | NDUFS2 | NDUFS4 | NDUFS7 | NDUFS8 | NDUFV1 | NEB | NUBPL | ORAI1 | PAX7 | PNPLA8 | POLG | POLG2 | PRICKLE2 | PUS1 | PYROXD1 | RNASEH1 | RRM1 | RRM2B | RYR1 | RYR3 | SCN4A | SCO1 | SCO2 | SDHA | SDHAF1 | SDHB | SDHD | SELENON | SLC25A4 | SPEG | STAC3 | STIM1 | SVIL | TAFAZZIN | TK2 | TNNC2 | TNNT1 | TOP3A | TPM2 | TPM3 | TRMU | TRNC | TRNF | TRNI | TRNK | TRNL1 | TRNP | TRNQ | TRNS1 | TRNS2 | TRNT | TRNV | TRNW | TTN | TWNK | TYMP | UNC45B | YARS2
Nemaline myopathy	NANDO:1200478	ACTA1 | CFL2 | KBTBD13 | KLHL40 | KLHL41 | LMOD3 | MYPN | NEB | TNNT1 | TPM2 | TPM3
Central core disease	NANDO:1200479	RYR1
Minicore myopathy	NANDO:1200480	MYH7 | RYR1 | SELENON | TTN
Myotubular myopathy	NANDO:1200481	
Centronuclear myopathy	NANDO:1200482	BIN1 | CCDC78 | DNM2 | MAMLD1 | MAP3K20 | MTM1 | MTMR14 | MYF6 | RYR1 | SPEG | TTN
Congenital fiber-type disproportion myopathy	NANDO:1200483	ACTA1 | HACD1 | ITGA7 | MAP3K20 | MYL2 | SELENON | TPM2 | TPM3
Type 1 fiber predominance myopathy	NANDO:1200484	
Marinesco-Sjogren syndrome	NANDO:1200485	INPP5K | SIL1
