NANDO	notification_number	disease_name_en	disease_name_synonym_en	disease_name_ja	disease_name_synonym_ja	Mondo
NANDO:2200949	5	[小慢] Giant hepatic hemangiomas	Giant hepatic haemangiomas|Critical infantile hepatic haemangioma	[小慢] 肝巨大血管腫	乳幼児難治性肝血管腫	
NANDO:2200950	20	[小慢] Persistent cloaca		[小慢] 総排泄腔遺残		MONDO:0009774
NANDO:2200951	21	[小慢] Cloacal exstrophy		[小慢] 総排泄腔外反症		MONDO:0009774
NANDO:2200952	15	[小慢] Coffin-Lowry syndrome		[小慢] コフィン・ローリー症候群	Coffin-Lowry症候群	MONDO:0010561
NANDO:2200953	23	[小慢] Sotos syndrome		[小慢] ソトス症候群	Sotos症候群	MONDO:0019349
NANDO:2200954	20	[小慢] Smith-Magenis syndrome		[小慢] スミス・マギニス症候群	Smith-Magenis症候群	MONDO:0008434
NANDO:2200955	34	[小慢] Rubinstein-Taybi syndrome		[小慢] ルビンシュタイン・テイビ症候群	Rubinstein-Taybi症候群	MONDO:0019188
NANDO:2200956	11	[小慢] Kabuki syndrome		[小慢] 歌舞伎症候群		MONDO:0016512
NANDO:2200957	9	[小慢] Weaver syndrome		[小慢] ウィーバー症候群	Weaver症候群	MONDO:0010193
NANDO:2200958	16	[小慢] Cornelia de Lange syndrome		[小慢] コルネリア・デランゲ症候群	Cornelia de Lange症候群	MONDO:0016033
NANDO:2200959	29	[小慢] Beckwith-Wiedemann syndrome		[小慢] ベックウィズ・ヴィーデマン症候群	Beckwith-Wiedemann症候群	MONDO:0007534
NANDO:2200960	1	[小慢] Angelman syndrome		[小慢] アンジェルマン症候群	Angelman症候群	MONDO:0007113
NANDO:2200961	2	[小慢] 5p- syndrome	5p deletion syndrome	[小慢] 5p-症候群	5p欠失症候群	MONDO:0007404
NANDO:2200962	6	[小慢] 4p- Syndrome	4p deletion syndrome	[小慢] 4p-症候群	4p欠失症候群	MONDO:0008684
NANDO:2200963	4	[小慢] Trisomy 18	18 trisomy syndrome|Chromosome 18 duplication|Edwards syndrome	[小慢] 18トリソミー症候群		MONDO:0018071
NANDO:2200964	3	[小慢] Trisomy 13	13 trisomy syndrome|Patau syndrome	[小慢] 13トリソミー症候群		MONDO:0018068
NANDO:2200965	5	[小慢] Down syndrome	Trisomy 21	[小慢] ダウン症候群	Down症候群	MONDO:0008608
NANDO:2200966	7	[小慢] Other chromosomal abnormalities	Autosome	[小慢] 9から14までに掲げるもののほか、常染色体異常		
NANDO:2200967	17	[小慢] CFC Syndrome	Cardio-facio-cutaneuos syndrome	[小慢] CFC症候群	cardio-facio-cutaneous症候群|心臓・顔・皮膚症候群	MONDO:0015280
NANDO:2200968	30	[小慢] Marfan syndrome		[小慢] マルファン症候群	Marfan症候群	MONDO:0007947
NANDO:2200969	35	[小慢] Loeys-Dietz syndrome		[小慢] ロイス・ディーツ症候群		MONDO:0018954
NANDO:2200970	12	[小慢] Camurati-Engelmann disease		[小慢] カムラティ・エンゲルマン症候群		MONDO:0007542
NANDO:2200971	13	[小慢] Costello syndrome		[小慢] コステロ症候群	Costello症候群	MONDO:0009026
NANDO:2200972	25	[小慢] CHARGE syndrome		[小慢] チャージ症候群	CHARGE症候群	MONDO:0008965
NANDO:2200973	26	[小慢] Hallermann-Streiff syndrome	HSS|Hallermann-Streiff-Francois syndrome|Oculo-mandibulo-facial syndrome	[小慢] ハーラマン・ストライフ症候群	眼・下顎・顔症候群	MONDO:0009318
NANDO:2200974	18	[小慢] Incontinentia pigmenti	Bloch-Sulzberger syndrome	[小慢] 色素失調症		MONDO:0010631
NANDO:2200975	8	[小慢] Antley-Bixler syndrome	Antley-Bixler Syndrome Phenotype	[小慢] アントレー・ビクスラー症候群	Antley-Bixler症候群	MONDO:0008803
NANDO:2200976	28	[小慢] Pfeiffer syndrome		[小慢] ファイファー症候群	Pfeiffer症候群	MONDO:0005810|MONDO:0007043
NANDO:2200977	14	[小慢] Coffin-Siris syndrome		[小慢] コフィン・シリス症候群	Coffin-Siris症候群	MONDO:0015452
NANDO:2200978	19	[小慢] Simpson-Golabi-Behmel syndrome	SGS|SGBS	[小慢] シンプソン・ゴラビ・ベーメル症候群	Simpson-Golabi-Behmel症候群	MONDO:0010731
NANDO:2200979	21	[小慢] Smith-Lemli-Opitz syndrome		[小慢] スミス・レムリ・オピッツ症候群	Smith-Lemli-Opitz症候群	MONDO:0010035
NANDO:2200980	31	[小慢] Moebius syndrome	Möbius syndrome	[小慢] メビウス症候群	Moebius症候群	MONDO:0008006
NANDO:2200981	32	[小慢] Mowat-Wilson syndrome		[小慢] モワット・ウィルソン症候群	Mowat-Wilson症候群	MONDO:0009341
NANDO:2200982	33	[小慢] Young-Simpson syndrome		[小慢] ヤング・シンプソン症候群	Young-Simpson症候群	MONDO:0011365
NANDO:2200983	27	[小慢] VATER syndrome		[小慢] VATER症候群		MONDO:0008642
NANDO:2200984	10	[小慢] MECP2 duplication syndrome		[小慢] MECP２重複症候群		MONDO:0010283
NANDO:2200985	24	[小慢] Takenouchi-Kosaki syndrome		[小慢] 武内・小崎症候群		MONDO:0014757
NANDO:2200986	1	[小慢] Oculocutaneous albinism	OCA	[小慢] 眼皮膚白皮症	先天性白皮症	MONDO:0018910
NANDO:2200987	5	[小慢] Keratinopathic ichthyosis		[小慢] ケラチン症性魚鱗癬		MONDO:0017266
NANDO:2200991	7	[小慢] Autosomal recessive congenital ichthyosis		[小慢] 常染色体劣性遺伝性魚鱗癬		MONDO:0017265
NANDO:2200992	8	[小慢] Harlequin ichthyosis		[小慢] 道化師様魚鱗癬		MONDO:0009443
NANDO:2200993	9	[小慢] Netherton syndrome		[小慢] ネザートン症候群	Netherton症候群	MONDO:0009735
NANDO:2200994	6	[小慢] Sjögren-Larsson syndrome	Sjogren-Larsson syndrome	[小慢] シェーグレン・ラルソン症候群	Sjögren-Larsson症候群	MONDO:0010031
NANDO:2200995	10	[小慢] Other congenital ichthyoses		[小慢] 2から6までに掲げるもののほか、先天性魚鱗癬		
NANDO:2201000	14	[小慢] Epidermolysis bullosa		[小慢] 表皮水疱症		MONDO:0006541
NANDO:2201001	12	[小慢] Pustular psoriasis	Generalized pustular psoriasis|GPP	[小慢] 膿疱性乾癬（汎発型）		MONDO:0022205
NANDO:2201002	3	[小慢] Xeroderma pigmentosum	XP	[小慢] 色素性乾皮症		MONDO:0019600
NANDO:2201003	16	[小慢] von Recklinghausen's disease	Neurofibromatosis type 1	[小慢] レックリングハウゼン病	神経線維腫症I型|Recklinghausen病	MONDO:0018975|MONDO:0021061
NANDO:2201004	13	[小慢] Pachydermoperiostosis	PDP	[小慢] 肥厚性皮膚骨膜症		MONDO:0009799|MONDO:0016620
NANDO:2201005	15	[小慢] Anhidrotic ectodermal dysplasia		[小慢] 無汗性外胚葉形成不全		MONDO:0016535
NANDO:2201006	4	[小慢] Stevens-Johnson syndrome	Toxic epidermal necrolysis|SJS	[小慢] スティーヴンス・ジョンソン症候群	Stevens-Johnson症候群|皮膚粘膜眼症候群	MONDO:0018229
NANDO:2201008	1	[小慢] Thoracic insufficiency syndrome		[小慢] 胸郭不全症候群		MONDO:0015929
NANDO:2201009	14	[小慢] Achondroplasia		[小慢] 軟骨無形成症		MONDO:0007037
NANDO:2201010	13	[小慢] Hypochondroplasia		[小慢] 軟骨低形成症		MONDO:0007793
NANDO:2201011	3	[小慢] Osteogenesis imperfecta		[小慢] 骨形成不全症		MONDO:0019019
NANDO:2201012	9	[小慢] Hypophosphatasia		[小慢] 低ホスファターゼ症		MONDO:0018570
NANDO:2201013	6	[小慢] Osteopetrosis		[小慢] 大理石骨病		MONDO:0017198
NANDO:2201014	8	[小慢] Multiple cartilaginous exostosis	Hereditary multiple exostosis	[小慢] 多発性軟骨性外骨腫症		MONDO:0005508
NANDO:2201015	12	[小慢] Enchondromatosis	Ollier disease|Osteochondromatosis|Dyschondroplasia	[小慢] 内軟骨腫症		MONDO:0005508|MONDO:0008145
NANDO:2201016	15	[小慢] Type II collagenopathy		[小慢] 2型コラーゲン異常症関連疾患		MONDO:0015627|MONDO:0016068|MONDO:0022800
NANDO:2201017	11	[小慢] Chondrodysplasia punctata		[小慢] 点状軟骨異形成症		MONDO:0019701
NANDO:2201018	2	[小慢] Pseudoachondroplasia		[小慢] 偽性軟骨無形成症		MONDO:0008322
NANDO:2201019	17	[小慢] Larsen syndrome		[小慢] ラーセン症候群	Larsen症候群	MONDO:0007875
NANDO:2201020	5	[小慢] Fibrodysplasia ossificans progressiva	FOP	[小慢] 進行性骨化性線維異形成症		MONDO:0003964|MONDO:0007606
NANDO:2201021	10	[小慢] Transient receptor potential cation channel, vanilloid subfamily, member 4 -associated disorders	TRPV4-associated disorders	[小慢] ＴＲＰＶ４異常症		MONDO:0018240
NANDO:2201022	4	[小慢] Osteosclerotic diseases		[小慢] 骨硬化性疾患		MONDO:0002933
NANDO:2201026	16	[小慢] Beals syndrome	Congenital contractural arachnodactyly	[小慢] ビールズ症候群	Beals症候群|遠位型多発性関節拘縮症9型	MONDO:0007363
NANDO:2201027	3	[小慢] Blue rubber bleb nevus syndrome		[小慢] 青色ゴムまり様母斑症候群	Bean症候群	MONDO:0007203
NANDO:2201028	4	[小慢] Gigantic venous malformation	Huge venous malformation	[小慢] 巨大静脈奇形		
NANDO:2201029	5	[小慢] Huge arteriovenous malformation	Gigantic arteriovenous malformation	[小慢] 巨大動静脈奇形		
NANDO:2201030	6	[小慢] Klippel-Trenaunay-Weber syndrome	Klippel–Trénaunay syndrome	[小慢] クリッペル・トレノネー・ウェーバー症候群	Klippel-Trenanay-Weber症候群	MONDO:0007864
NANDO:2201031	7	[小慢] Primary lymphedema		[小慢] 原発性リンパ浮腫		MONDO:0019175
NANDO:2201032	8	[小慢] Lymphangioma		[小慢] リンパ管腫		MONDO:0002013
NANDO:2201033	9	[小慢] Lymphangiomatosis		[小慢] リンパ管腫症		MONDO:0015408
NANDO:2201034	1	[小慢] Hereditary hemorrhagic telangiectasia	HHT|Osler-Weber-Rendu disease|Hereditary haemorrhagic telangiectasia	[小慢] 遺伝性出血性末梢血管拡張症	オスラー病	MONDO:0019180
NANDO:2201035	2	[小慢] Kasabach-Merritt syndrome		[小慢] カサバッハ・メリット症候群 	Kasabach-Merritt症候群 	MONDO:0007708
NANDO:2201385	22	[小慢] Galloway-Mowat syndrome		[小慢] ギャロウェイ・モワト症候群	Galloway-Mowat症候群	MONDO:0009627
NANDO:2201386	5	[小慢] Autosomal dominant tubulointerstitial kidney disease	ADTKD	[小慢] 常染色体優性尿細管間質性腎疾患		MONDO:0008264
NANDO:2201391	7	[小慢] Branchio-oto-renal syndrome	BOR syndrome	[小慢] 鰓耳腎症候群	BOR症候群	MONDO:0007029|MONDO:0018878
NANDO:2201392	92	[小慢] Holt-Oram syndrome		[小慢] ホルト・オーラム症候群	Holt-Oram症候群|Heart-Hand症候群I型|心臓-手症候群I型	MONDO:0007732
NANDO:2201393	82	[小慢] CASK abnormality		[小慢] ＣＡＳＫ異常症		MONDO:0010417
NANDO:2201394	88	[小慢] Hemimegaloencephaly		[小慢] 片側巨脳症		MONDO:0020492
NANDO:2201395	60	[小慢] DDX3X-related neurodevelopmental disorder		[小慢] ＤＤＸ３Ｘ関連神経発達異常症		MONDO:0010497
NANDO:2201396	61	[小慢] Congenital disorders of glycosylation	CDG	[小慢] 先天性グリコシル化異常症		MONDO:0015286
NANDO:2201397	63	[小慢] Aicardi syndrome		[小慢] アイカルディ症候群	Aicardi症候群	MONDO:0010568
NANDO:2201398	64	[小慢] Ohtahara syndrome		[小慢] 大田原症候群		MONDO:0100062
NANDO:2201399	65	[小慢] Ring chromosome 20 syndrome		[小慢] 環状20番染色体症候群		MONDO:0015436
NANDO:2201400	66	[小慢] GRIN2B-related neurodevelopmental disorder		[小慢] ＧＲＩＮ２Ｂ関連神経発達異常症		MONDO:0014505|MONDO:0035122|MONDO:0013509
NANDO:2201401	67	[小慢] Hypothalamic hamartoma syndrome		[小慢] 視床下部過誤腫症候群		MONDO:0009436
NANDO:2201402	68	[小慢] Epileptic encephalopathy with continuous spike-and-wave during sleep		[小慢] 徐波睡眠期持続性棘徐波を示すてんかん性脳症		MONDO:0019123|MONDO:0022858
NANDO:2201403	69	[小慢] Early myoclonic encephalopathy		[小慢] 早期ミオクロニー脳症		MONDO:0016022
NANDO:2201404	72	[小慢] PCDH19-related syndrome		[小慢] ＰＣＤＨ19関連症候群		MONDO:0010246
NANDO:2201405	73	[小慢] PURA-related neurodevelopmental disorders		[小慢] ＰＵＲＡ関連神経発達異常症		MONDO:0018580
NANDO:2201406	74	[小慢] Epilepsy with myoclonic absence		[小慢] ミオクロニー欠神てんかん		MONDO:0019487
NANDO:2201407	75	[小慢] Epilepsy with myoclonic-atonic seizures		[小慢] ミオクロニー脱力発作を伴うてんかん		MONDO:0016025
NANDO:2201408	76	[小慢] Epilepsy of infancy with migrating focal seizures	EIMFS	[小慢] 遊走性焦点発作を伴う乳児てんかん		MONDO:0017385|MONDO:0100025
NANDO:2201409	94	[小慢] Vitamine B6-dependent epilepsy		[小慢] ビタミンＢ６依存性てんかん		MONDO:0009945
NANDO:2201413	55	[小慢] Bilirubin encephalopathy in preterm infants		[小慢] 早産児ビリルビン脳症		
NANDO:2201414	91	[小慢] WDR45 associated neurodegeneration	SENDA/BPAN	[小慢] ＷＤＲ45関連神経変性症		MONDO:0010476
NANDO:2201415	22	[小慢] 		[小慢] 染色体又は遺伝子異常を伴い特徴的な形態的異常の組み合わせを呈する症候群（厚生労働省健康局長の定めるものに限る。）		
NANDO:2201420	2	[小慢] Localized scleroderma/morphea		[小慢] 限局性強皮症		MONDO:0019562
NANDO:2201426	7	[小慢] Thanatophoric dysplasia		[小慢] タナトフォリック骨異形成症		MONDO:0017042
