NANDO	notification_number	disease_name_en	disease_name_synonym_en	disease_name_ja	disease_name_synonym_ja	Mondo
NANDO:2200721	5	[小慢] Specific antibody deficiency with normal Ig concentrations and normal numbers of B cells		[小慢] 特異抗体産生不全症		MONDO:0015711
NANDO:2200722	6	[小慢] Transient hypogammaglobulinemia of infancy with normal numbers of B cells	Transient hypogammaglobulinaemia of infancy with normal numbers of B cells	[小慢] 乳児一過性低ガンマグロブリン血症		MONDO:0015698
NANDO:2200723	8	[小慢] Other predominantly antibody deficiencies		[小慢] 23から29までに掲げるもののほか、液性免疫不全を主とする疾患		
NANDO:2200724	43	[小慢] Chédiak-Higashi syndrome	CHS	[小慢] チェディアック・東症候群	Chediak-Higashi症候群	MONDO:0008963
NANDO:2200725	41	[小慢] X-linked lymphoproliferative syndrome	XLP	[小慢] X連鎖リンパ増殖症候群		MONDO:0010627
NANDO:2200726	42	[小慢] Autoimmune lymphoproliferative syndrome	ALPS	[小慢] 自己免疫性リンパ増殖症候群	ALPS	MONDO:0017979
NANDO:2200727	44	[小慢] Other diseases of immune dysregulation		[小慢] 31から33までに掲げるもののほか、免疫調節障害		
NANDO:2200745	10	[小慢] Severe congenital neutropenia		[小慢] 重症先天性好中球減少症		MONDO:0018542
NANDO:2200746	9	[小慢] Cyclic neutropenia		[小慢] 周期性好中球減少症		MONDO:0008090
NANDO:2200747	11	[小慢] Other congenital defects of neutrophil function		[小慢] 35及び36に掲げるもののほか、慢性の経過をたどる好中球減少症		
NANDO:2200755	13	[小慢] Leukocyte adhesion deficiency	LAD	[小慢] 白血球接着不全症		MONDO:0017570
NANDO:2200756	12	[小慢] Shwachman-Diamond syndrome	SDS	[小慢] シュワッハマン・ダイアモンド症候群	Shwachman-Diamond症候群	MONDO:0009833
NANDO:2200757	14	[小慢] Chronic granulomatous disease	CGD	[小慢] 慢性肉芽腫症		MONDO:0018305
NANDO:2200758	15	[小慢] Myeloperoxidase deficiency		[小慢] ミエロペルオキシダーゼ欠損症		MONDO:0009694
NANDO:2200759	16	[小慢] Mendelian susceptibility to mycobacterial disease	MSMD	[小慢] メンデル遺伝型マイコバクテリア易感染症		MONDO:0019146
NANDO:2200760	17	[小慢] Other congenital defects of phagocyte function		[小慢] 38から42までに掲げるもののほか、白血球機能異常		
NANDO:2200761	24	[小慢] Anhidrotic ectodermal dysplasia with immunodeficiency	EDA-ID	[小慢] 免疫不全を伴う無汗性外胚葉形成異常症		MONDO:0010293
NANDO:2200762	21	[小慢] IRAK4 deficiency		[小慢] IRAK4欠損症		MONDO:0011888
NANDO:2200763	23	[小慢] MyD88 deficiency		[小慢] MyD88欠損症		MONDO:0012839
NANDO:2200764	22	[小慢] Chronic mucocutaneous candidiasis	CMC	[小慢] 慢性皮膚粘膜カンジダ症		MONDO:0015279
NANDO:2200765	25	[小慢] Other defects in innate immunity		[小慢] 44から47までに掲げるもののほか、自然免疫異常		
NANDO:2200776	27	[小慢] Inherited deficiency of complement system		[小慢] 先天性補体欠損症		MONDO:0003832
NANDO:2200795	26	[小慢] Hereditary angioedema	C1 inhibitor deficiency	[小慢] 遺伝性血管性浮腫	C1インヒビター欠損症	MONDO:0007361|MONDO:0019623
NANDO:2200796	28	[小慢] Other inherited deficiency of complement system		[小慢] 49及び50に掲げるもののほか、先天性補体欠損症		
NANDO:2200805	18	[小慢] Hyper eosinophilic syndrome		[小慢] 好酸球増加症		MONDO:0015691
NANDO:2200808	40	[小慢] Chronic active EB virus infection	CAEBV	[小慢] 慢性活動性EBウイルス感染症		MONDO:0009194
NANDO:2200809	19	[小慢] Acquired immune deficiency syndrome	AIDS	[小慢] 後天性免疫不全症候群		MONDO:0012268
NANDO:2200811	20	[小慢] Phenocopies of primary immunodeficiency		[小慢] 後天的な免疫系障害による免疫不全症		
NANDO:2200812	39	[小慢] Chronic graft-versus-host disease	Chronic GVHD	[小慢] 慢性移植片対宿主病		MONDO:0020547
NANDO:2200813	38	[小慢] Meningoencephalocele		[小慢] 髄膜脳瘤		MONDO:0017079
NANDO:2200814	39	[小慢] Myelomeningocele		[小慢] 脊髄髄膜瘤		MONDO:0017069|MONDO:0019773
NANDO:2200815	37	[小慢] Spinal lipoma		[小慢] 脊髄脂肪腫		MONDO:0001790
NANDO:2200816	54	[小慢] Sacrococcygeal teratoma		[小慢] 仙尾部奇形腫		MONDO:0042727
NANDO:2200817	81	[小慢] Lissencephaly		[小慢] 滑脳症		MONDO:0018838
NANDO:2200818	89	[小慢] Schizencephaly		[小慢] 裂脳症		MONDO:0010011
NANDO:2200819	84	[小慢] Holoprosencephaly		[小慢] 全前脳胞症		MONDO:0016296
NANDO:2200820	87	[小慢] Septo-optic dysplasia	De Morsier syndrome|SOD	[小慢] 中隔視神経形成異常症	ドモルシア症候群|de Morsier症候群|中隔視神経異常症|中隔視神経異形成症	MONDO:0008428
NANDO:2200821	86	[小慢] Dandy-Walker syndrome		[小慢] ダンディー・ウォーカー症候群	Dandy-Walker症候群	MONDO:0009072
NANDO:2200822	85	[小慢] Congenital hydrocephalus		[小慢] 先天性水頭症		MONDO:0016349
NANDO:2200823	83	[小慢] Megalencephaly-capillary malformation syndrome	Megalencephaly-capillary malformation-polymicrogyria	[小慢] 巨脳症－毛細血管奇形症候群		MONDO:0011240
NANDO:2200824	21	[小慢] Joubert syndrome related disorders		[小慢] ジュベール症候群関連疾患	Joubert症候群関連疾患	MONDO:0015369
NANDO:2200825	100	[小慢] Rett syndrome		[小慢] レット症候群	Rett症候群	MONDO:0010726
NANDO:2200826	24	[小慢] Tuberous sclerosis complex	TSC|Tuberous sclerosis	[小慢] 結節性硬化症		MONDO:0001734|MONDO:0019341
NANDO:2200827	26	[小慢] Neurocutaneous melanosis		[小慢] 神経皮膚黒色症		MONDO:0009578
NANDO:2200828	25	[小慢] Gorlin syndrome	Basal cell nevus syndrome	[小慢] ゴーリン症候群	Gorlin症候群|基底細胞母斑症候群	MONDO:0007187
NANDO:2200829	28	[小慢] von Hippel-Lindau disease		[小慢] フォンヒッペル・リンドウ病	von Hippel-Lindau病	MONDO:0008667
NANDO:2200830	25	[小慢] Sturge-Weber syndrome		[小慢] スタージ・ウェーバー症候群	Sturge-Weber症候群	MONDO:0008501
NANDO:2200831	56	[小慢] Werner syndrome		[小慢] ウェルナー症候群	Werner症候群	MONDO:0010196
NANDO:2200832	57	[小慢] Cockayne syndrome		[小慢] コケイン症候群	Cockayne症候群	MONDO:0016006
NANDO:2200833	58	[小慢] Hutchinson-Gilford syndrome	Hutchinson-Gilford progeria syndrome|HGPS	[小慢] ハッチンソン・ギルフォード症候群		MONDO:0008310
NANDO:2200834	3	[小慢] Canavan disease		[小慢] カナバン病	Canavan病	MONDO:0010079
