ICD-10	ICD-10_group	disease_control_number	disease_name
E113	H360	20093070	２型糖尿病性中心性網膜症
E110		20093082	２型糖尿病性低血糖性昏睡
E115	I798	20093066	２型糖尿病性動脈硬化症
E115	I798	20093067	２型糖尿病性動脈閉塞症
E114	G590	20083644	２型糖尿病性ニューロパチー
E113	H280	20090718	２型糖尿病性白内障
E116	L998	20093083	２型糖尿病性皮膚障害
E116	L998	20091944	２型糖尿病性浮腫性硬化症
E115	I792	20093064	２型糖尿病性末梢血管症
E115	I792	20093065	２型糖尿病性末梢血管障害
E114	G632	20093077	２型糖尿病性末梢神経障害
E114	G736	20083654	２型糖尿病性ミオパチー
E113	H360	20083647	２型糖尿病性網膜症
N258		20097552	２型尿細管性アシドーシス
D552		20050225	ＩＩ型溶血性非球状赤血球性貧血
E711		20097753	３－メチルグルタコン酸尿症
E250		20100533	３β－水酸化ステロイド脱水素酵素欠損症
Q991		20050025	４６ＸＸ真性半陰陽
Q562		20103381	４６ＸＸ性分化疾患
Q991		20103382	４６ＸＸ卵精巣性性分化疾患
Q561		20103374	４６ＸＹ性分化疾患
Q933		20101151	４ｐ欠失症候群
E274		20097618	４型尿細管性アシドーシス
H534		20050030	４分の１半盲
T888		20087712	４分の３冠過高
T888		20089233	４分の３冠粗造
T888		20089201	４分の３冠脱離
T888		20089229	４分の３冠低位
T888		20087714	４分の３冠破損
T888		20087718	４分の３冠不適合
E291		20050033	５－アルファ還元酵素欠損症
Q934		20101157	５ｐ欠失症候群
D466		20098113	５ｑ－症候群
E291		20103375	５アルファ－還元酵素欠損症
T888		20087724	５分の４冠過高
T888		20089177	５分の４冠粗造
T888		20089166	５分の４冠脱離
T888		20089179	５分の４冠低位
T888		20087726	５分の４冠破損
T888		20087730	５分の４冠不適合
Q878		20102696	９ｑ３４欠失症候群
P551		20050044	ＡＢＯ因子不適合
T803		20050045	ＡＢＯ因子不適合輸血
P551		20050049	ＡＢＯ溶血性疾患
E240		20050051	ＡＣＴＨ産生下垂体腺腫
E240		20084213	ＡＣＴＨ産生腫瘍
E230		20050053	ＡＣＴＨ単独欠損症
E230		20095308	ＡＣＴＨ分泌低下症
Z951		20050056	ＡＣバイパス術後
T822		20080612	ＡＣバイパス術後機械的合併症
D898		20102894	ＡＤＡ２欠損症
D813		20050057	ＡＤＡ欠乏症
R947		20050058	ＡＤＨ異常
R772		20093123	ＡＦＰ高値
E858		20094877	ＡＨアミロイドーシス
B24		20050063	ＡＩＤＳ
B24		20050065	ＡＩＤＳ関連症候群
R75		20050066	ＡＩＤＳ検査陽性
C847		20098093	ＡＬＫ陰性未分化大細胞リンパ腫
C349		20098126	ＡＬＫ融合遺伝子陽性非小細胞肺癌
C833		20098389	ＡＬＫ陽性大細胞型Ｂ細胞性リンパ腫
C846		20098091	ＡＬＫ陽性未分化大細胞リンパ腫
E858		20094878	ＡＬアミロイドーシス
E270		20103622	ＡＭＥ症候群
M318		20094138	ＡＮＣＡ関連血管炎
N017		20050072	ＡＮＣＡ関連腎炎
Q870	F729	20101171	ＡＴＲ－Ｘ症候群
Q279		20050077	ＡＶＭ
B159		20050083	Ａ型肝炎
H501		20086779	Ａ型外斜視
B150		20095311	Ａ型劇症肝炎
Q390		20050084	Ａ型食道閉鎖
H500		20086899	Ａ型内斜視
A400		20094141	Ａ群連鎖球菌敗血症
A303		20050085	ＢＢ型ハンセン病
T881		20097765	ＢＣＧ副反応
C910		20098206	ＢＣＲ－ＡＢＬ１陽性Ｂリンパ芽球性白血病
C910		20098203	ＢＣＲ－ＡＢＬ１陽性Ｂリンパ芽球性白血病／リンパ腫
C835		20098208	ＢＣＲ－ＡＢＬ１陽性Ｂリンパ芽球性リンパ腫
E701		20094143	ＢＨ４反応性高フェニルアラニン血症
N12	B978	20090265	ＢＫウイルス腎症
A492	U820	20097639	ＢＬＮＡＲ感染症
A304		20050086	ＢＬ型ハンセン病
C439		20100701	ＢＲＡＦ遺伝子変異陽性悪性黒色腫
A302		20050089	ＢＴ型ハンセン病
B004		20101896	Ｂウイルス病
E13		20094051	Ｂ型インスリン受容体異常症
B169		20050098	Ｂ型肝炎
B169		20079661	Ｂ型肝炎ウイルス感染
Z861		20103137	Ｂ型肝炎ウイルス感染の既往
P002		20089951	Ｂ型肝炎ウイルス感染母体より出生した児
B169	M015	20100886	Ｂ型肝炎ウイルス性関節炎
O984	B169	20100202	Ｂ型肝炎合併妊娠
B181	K746	20050099	Ｂ型肝硬変
B169		20050100	Ｂ型急性肝炎
B162		20050101	Ｂ型劇症肝炎
B181	K746	20100408	Ｂ型代償性肝硬変
B181	K746	20100410	Ｂ型非代償性肝硬変
B181		20050102	Ｂ型慢性肝炎
A491		20084206	Ｂ群溶連菌感染症
P002		20089959	Ｂ群溶連菌感染母体より出生した児
M0025		20098517	Ｂ群溶連菌性化膿性股関節炎
Z223		20084167	Ｂ群溶連菌保菌者
P233		20083877	Ｂ群連鎖球菌性先天性肺炎
J153		20083857	Ｂ群連鎖球菌肺炎
A401		20094144	Ｂ群連鎖球菌敗血症
D477	Y838	20099658	Ｂ細胞性移植後リンパ増殖性疾患
C913		20098295	Ｂ細胞性前リンパ球性白血病
C851		20102577	Ｂ細胞性非ホジキンリンパ腫
C910		20098195	Ｂリンパ芽球性白血病
C910		20098192	Ｂリンパ芽球性白血病／リンパ腫
C835		20098198	Ｂリンパ芽球性リンパ腫
R778		20093106	ＣＡ１２５高値
R778		20093108	ＣＡ１５－３高値
R778		20093104	ＣＡ１９－９高値
E713		20102701	ＣＡＣＴ欠損症
T888		20100156	ＣＡＤ／ＣＡＭ冠過高
T888		20100158	ＣＡＤ／ＣＡＭ冠粗造
T888		20100138	ＣＡＤ／ＣＡＭ冠脱離
T888		20100154	ＣＡＤ／ＣＡＭ冠低位
T888		20100144	ＣＡＤ／ＣＡＭ冠破損
T888		20100150	ＣＡＤ／ＣＡＭ冠不適合
F011	I678	20099811	ＣＡＤＡＳＩＬ
T856		20089163	ＣＡＰＤカテーテル位置異常
T857		20087428	ＣＡＰＤカテーテルトンネル感染
T856		20101993	ＣＡＰＤカテーテル破損
T857		20087429	ＣＡＰＤ出口部感染
T857		20087430	ＣＡＰＤ腹膜炎
F011	I678	20099813	ＣＡＲＡＳＩＬ
C915		20098167	ＣＣＲ４陽性成人Ｔ細胞白血病リンパ腫
C848		20100274	ＣＣＲ４陽性皮膚Ｔ細胞リンパ腫
C844		20100275	ＣＣＲ４陽性末梢性Ｔ細胞リンパ腫
C851		20100971	ＣＤ２０陽性Ｂ細胞性非ホジキンリンパ腫
D818		20103322	ＣＤ８欠損症
R778		20093122	ＣＥＡ高値
Q878		20100455	ＣＦＣ症候群
Q878		20094479	ＣＨＡＲＧＥ症候群
Q878		20101138	ＣＨＩＬＤ症候群
S630		20050118	ＣＭ関節脱臼
M1994		20050120	ＣＭ関節変形性関節症
R068		20050121	ＣＯ２ナルコーシス
E713		20097768	ＣＰＴ１欠損症
E713		20097770	ＣＰＴ２欠損症
D71		20050124	ＣＲ３欠損症
E240		20050127	ＣＲＨ産生腫瘍
R778		20093118	ＣＹＦＲＡ高値
K028		20090273	Ｃ管理中
B182		20050133	Ｃ型肝炎
B182		20086515	Ｃ型肝炎ウイルス感染
Z861		20103140	Ｃ型肝炎ウイルス感染の既往
P002		20089955	Ｃ型肝炎ウイルス感染母体より出生した児
B182	M015	20100884	Ｃ型肝炎ウイルス性関節炎
O984	B182	20100204	Ｃ型肝炎合併妊娠
B182	K746	20050134	Ｃ型肝硬変
B171		20050135	Ｃ型急性肝炎
B171		20095319	Ｃ型劇症肝炎
Q391		20050136	Ｃ型食道閉鎖
B182	K746	20100409	Ｃ型代償性肝硬変
B182	K746	20100412	Ｃ型非代償性肝硬変
B182		20050137	Ｃ型慢性肝炎
A408		20103254	Ｃ群連鎖球菌敗血症
K028		20090274	Ｃ選療
E274		20100536	ＤＡＸ－１異常症
M1314		20050141	ＤＩＰ関節炎
S6261		20085609	ＤＩＰ関節開放性脱臼骨折
S631		20050142	ＤＩＰ関節脱臼
S6260		20050143	ＤＩＰ関節脱臼骨折
S6260		20050144	ＤＩＰ関節内骨折
S636		20050145	ＤＩＰ関節捻挫
M674		20050146	ＤＩＰ関節部ガングリオン
M1994		20050147	ＤＩＰ関節変形性関節症
B178		20050154	Ｄ型肝炎
A402		20095678	Ｄ群連鎖球菌敗血症
O360		20050155	Ｄ不適合
C910		20098268	Ｅ２Ａ－ＰＢＸ１陽性Ｂリンパ芽球性白血病
C910		20098262	Ｅ２Ａ－ＰＢＸ１陽性Ｂリンパ芽球性白血病／リンパ腫
C835		20098272	Ｅ２Ａ－ＰＢＸ１陽性Ｂリンパ芽球性リンパ腫
B270		20088074	ＥＢウイルス肝炎
B338		20086721	ＥＢウイルス感染症
D823		20050156	ＥＢウイルス関連免疫不全症
B270		20099797	ＥＢウイルス伝染性単核症
J128		20085381	ＥＢウイルス肺炎
R768		20090729	ＥＤＴＡ依存性偽性血小板減少症
C349		20099364	ＥＧＦＲ遺伝子変異陽性非小細胞肺癌
K858	Y848	20088066	ＥＲＣＰ後膵炎
A499	U822	20097670	ＥＳＢＬ産生菌感染症
T810		20095679	ＥＳＷＬ後腎皮膜下血腫
E078		20083020	Ｅｕｔｈｙｒｏｉｄ　Ｓｉｃｋ症候群
B172		20050171	Ｅ型肝炎
B172		20095325	Ｅ型劇症肝炎
O360		20050172	Ｅ不適合
E741		20103301	ＦＢＰａｓｅ欠損症
D352	E228	20092562	ＦＳＨ産生下垂体腺腫
E230		20050174	ＦＳＨ単独欠損症
D550		20050176	Ｇ６ＰＤ欠乏性貧血
E888		20103314	ＧＡＢＡアミノ基転移酵素欠損症
E742		20101414	ＧＡＬＥ欠損症
