id	label_en	synonym_en	label_ja	synonym_ja
E291			５アルファ−還元酵素欠損症	
T888			５分の４冠過高	
T888			５分の４冠粗造	
T888			５分の４冠脱離	
T888			５分の４冠低位	
T888			５分の４冠破損	
T888			５分の４冠不適合	
Q878			９ｑ３４欠失症候群	
P551			ＡＢＯ因子不適合	
T803			ＡＢＯ因子不適合輸血	
P551			ＡＢＯ溶血性疾患	
E240			ＡＣＴＨ産生下垂体腺腫	
E240			ＡＣＴＨ産生腫瘍	
E230			ＡＣＴＨ単独欠損症	
E230			ＡＣＴＨ分泌低下症	
Z951			ＡＣバイパス術後	
T822			ＡＣバイパス術後機械的合併症	
D898			ＡＤＡ２欠損症	
D813			ＡＤＡ欠乏症	
R947			ＡＤＨ異常	
R772			ＡＦＰ高値	
E858			ＡＨアミロイドーシス	
B24			ＡＩＤＳ	
B24			ＡＩＤＳ関連症候群	
R75			ＡＩＤＳ検査陽性	
C847			ＡＬＫ陰性未分化大細胞リンパ腫	
C349			ＡＬＫ融合遺伝子陽性非小細胞肺癌	
C833			ＡＬＫ陽性大細胞型Ｂ細胞性リンパ腫	
C846			ＡＬＫ陽性未分化大細胞リンパ腫	
E858			ＡＬアミロイドーシス	
E270			ＡＭＥ症候群	
M318			ＡＮＣＡ関連血管炎	
N017			ＡＮＣＡ関連腎炎	
Q870			ＡＴＲ−Ｘ症候群	
Q279			ＡＶＭ	
B159			Ａ型肝炎	
H501			Ａ型外斜視	
B150			Ａ型劇症肝炎	
Q390			Ａ型食道閉鎖	
H500			Ａ型内斜視	
A400			Ａ群連鎖球菌敗血症	
A303			ＢＢ型ハンセン病	
T881			ＢＣＧ副反応	
C910			ＢＣＲ−ＡＢＬ１陽性Ｂリンパ芽球性白血病	
C910			ＢＣＲ−ＡＢＬ１陽性Ｂリンパ芽球性白血病／リンパ腫	
C835			ＢＣＲ−ＡＢＬ１陽性Ｂリンパ芽球性リンパ腫	
E701			ＢＨ４反応性高フェニルアラニン血症	
