id	label_en	synonym_en	label_ja	synonym_ja
2200124	[小慢] Henoch-Schonlein purpura nephritis	Henoch-Schönlein purpura nephritis|HSPN	[小慢] 紫斑病性腎炎	
2200125	[小慢] Goodpasture syndrome	Anti-glomerular basement membrane disease|Anti-GBM Nephritis	[小慢] 抗糸球体基底膜腎炎	グッドパスチャー症候群|Goodpasture症候群
2200126	[小慢] Alport syndrome	Alport's syndrome|AS	[小慢] 慢性糸球体腎炎（アルポート 症候群によるものに限る。）	
2200127	[小慢] Epstein syndrome		[小慢] エプスタイン症候群	Epstein症候群
2200128	[小慢] Lupus nephritis	LN	[小慢] ループス腎炎	
2200129	[小慢] Rapidly progressive glomerulonephritis due to microscopic poly-angitis	Rapidly progressive glomerulonephritis due to MPA	[小慢] 急速進行性糸球体腎炎（顕微鏡的多発血管炎によるものに限る。）	
2200130	[小慢] Rapidly progressive glomerulonephritis due to granulomatosis with polyangiitis	Rapidly progressive glomerulonephritis due to GPA	[小慢] 急速進行性糸球体腎炎（多発血管炎性肉芽腫症によるものに限る。）	
2200131	[小慢] Atypical hemolytic uremic syndrome	Atypical haemolytic uraemic syndrome|aHUS	[小慢] 非典型溶血性尿毒症症候群	
2200132	[小慢] Nail-patella syndrome		[小慢] ネイル・パテラ症候群	爪膝蓋骨症候群|Nail-Patella症候群
2200133	"[小慢] Glomerulopathy with fibronectin deposits, fibronectin nephropathy"		[小慢] フィブロネクチン腎症	
2200134	[小慢] Lipoprotein glomerulopathy	LPG	[小慢] リポタンパク糸球体症	
2200135	[小慢] Other chronic glomerulonephritis		[小慢] 8から21までに掲げるもののほか、慢性糸球体腎炎	
2200136	[小慢] Tubulointerstitial nephritis	TIN	[小慢] 慢性尿細管間質性腎炎	
2200137	[小慢] Chronic pyelonephritis		[小慢] 慢性腎盂腎炎	
2200138	[小慢] Amyloid nephropathy		[小慢] アミロイド腎	
2200139	[小慢] Familial juvenile hyperuricemic nephropathy	FJHN|Familial juvenile hyperuricaemic nephropathy	[小慢] 家族性若年性高尿酸血症性腎症	
2200140	[小慢] Nephronophthisis	NPH|Juvenile nephronophthisis	[小慢] ネフロン癆	
2200141	[小慢] Renovascular hypertension		[小慢] 腎血管性高血圧	
2200142	[小慢] Renal vein thrombosis	RVT	[小慢] 腎静脈血栓症	
2200143	[小慢] Renal arteriovenous fistula		[小慢] 腎動静脈瘻	
2200144	[小慢] Renal tubular acidosis	RTA	[小慢] 尿細管性アシドーシス	
2200145	[小慢] Gitelman syndrome	GS	[小慢] ギッテルマン症候群	Gitelman症候群
2200146	[小慢] Bartter syndrome	BS	[小慢] バーター症候群	Bartter症候群
2200147	[小慢] Nephro- and urolithiasis	Nephro-urolithiasis	[小慢] 腎尿管結石	
2200148	[小慢] Chronic renal failure due to renal tumour		[小慢] 慢性腎不全（腎腫瘍によるものに限る。）	
