id	label_en	synonym_en	label_ja	synonym_ja	OMIM	Orphanet
MONDO:0000148	"pulmonary fibrosis and/or bone marrow failure, telomere-related"		"肺線維症および/または骨髄不全, テロメア関連"		OMIMPS:614742	
MONDO:0000151	symphalangism		指節癒合症			
MONDO:0000152	thiamine-responsive dysfunction syndrome		チアミン反応性機能障害症候群		OMIMPS:249270	
MONDO:0000153	transposition of the great arteries		完全大血管転位症			Orphanet:216675
MONDO:0000155	triglyceride storage disease	inborn error of sequestering of triglyceride|inborn sequestering of triglyceride disorder|rare inborn error of sequestering of triglyceride	中性脂肪蓄積症	中性脂肪蓄積病		
MONDO:0000156	trigonocephaly		三角頭蓋	三角頭蓋症		
MONDO:0000158	developmental dysplasia of the hip	dysplasia of acetabulum|congenital acetabular dysplasia|congenital dysplasia of the hip|congenital hip dysplasia	発育性股関節形成不全	発育性股関節形成異常|発育性股関節異形成	OMIMPS:142700	
MONDO:0000159	bone marrow failure syndrome		骨髄不全症候群		OMIMPS:614675	
MONDO:0000160	"epilepsy, familial adult myoclonic"		"てんかん, 家族性成人ミオクロニー"	"てんかん, 家族性成人ミオクローヌス"	OMIMPS:601068	
MONDO:0000162	"autoimmune thyroid disease, susceptibility to"		"自己免疫性甲状腺疾患, 感受性"			
MONDO:0000166	"encephalopathy, acute, infection-induced"		"脳症, 急性, 感染誘発性"		OMIMPS:610551	
MONDO:0000167	Huntington disease and related disorders		ハンチントン病および関連障害	ハンチントン病および関連疾患		
MONDO:0000169	"microphthalmia, isolated, with cataract"		"小眼球症, 孤立性, 白内障を伴う"		OMIMPS:156850	
MONDO:0000170	"microphthalmia, isolated, with coloboma"	"microphthalmos bilateral, colobomatous orbital cyst|MCOPCB1|microphthalmia associated with colobomatous cyst|MAC|microphthalmia-anophthalmia-coloboma syndrome|microphthalmia with colobomatous cyst|colobomatous microphthalmia"	"小眼球症, 孤立性, コロボーマを伴う"	"小眼球, 孤立性, 眼欠損を伴う"	OMIMPS:300345	Orphanet:98938
MONDO:0000171	"muscular dystrophy-dystroglycanopathy, type A"	"hard +/- E syndrome|cerebroocular dysplasia muscular dystrophy syndrome|Pagon syndrome|Warburg syndrome|hydrocephalus, agyria and retinal dysplasia|cerebroocular dysgenesis|Chemke syndrome|cerebroocular dysplasia-muscular dystrophy syndrome|Walker-Warburg muscular dystrophy|hydrocephalus-agyria-retinal dysplasia syndrome|Walker-Warburg syndrome|hard syndrome|WWS"	"筋ジストロフィー-ジストログリカノパチー, A型"		OMIMPS:236670	Orphanet:899
MONDO:0000172	"muscular dystrophy-dystroglycanopathy, type B"		"筋ジストロフィー-ジストログリカノパチー, B型"		OMIMPS:613155	
MONDO:0000173	"muscular dystrophy-dystroglycanopathy, type C"		"筋ジストロフィー-ジストログリカノパチー, C型"		OMIMPS:609308	
MONDO:0000179	Neu-Laxova syndrome	NLS|Neu Laxova syndrome|nuclear localization signal	Neu-Laxova症候群		OMIMPS:256520	Orphanet:2671
MONDO:0000181	microcephaly and chorioretinopathy		小頭症および網脈絡膜症	小頭症および脈絡膜網膜症	OMIMPS:251270	
MONDO:0000182	congenital myasthenic syndrome with tubular aggregates	"CMS-TA|myasthenic syndrome, congenital, with tubular aggregates"	管状凝集体を伴う先天性筋無力症候群		OMIMPS:610542	
MONDO:0000188	GLUT1 deficiency syndrome	GLUT1 deficiency syndrome|GLUT1DS	GLUT1欠損症	グルコーストランスポーター1欠損症	OMIMPS:606777	
MONDO:0000190	ventricular fibrillation		心室細動			
MONDO:0000192	polyglucosan body myopathy		ポリグルコサン小体ミオパチー	ポリグルコサン小体ミオパシー	OMIMPS:615895	
MONDO:0000193	cortisone reductase deficiency	HSD 11B1 deficiency|11-alpha beta-hydroxysteroid dehydrogenase type I deficiency of|hyperandrogenism due to cortisone reductase deficiency|deficiency of (R)-20-hydroxysteroid dehydrogenase|11-beta-hydroxysteroid dehydrogenase deficiency type 1|deficiency of cortisone reductase|CORTRD	コルチゾンレダクターゼ欠損症		OMIMPS:604931	Orphanet:168588
MONDO:0000200	Zimmermann-Laband syndrome		Zimmermann-Laband症候群		OMIMPS:135500	Orphanet:3473
MONDO:0000208	"microcephaly, short stature, and impaired glucose metabolism 1"	"microcephaly, short stature, and impaired glucose metabolism|MSSGM|MSSGM1|microcephaly, short stature, and impaired glucose metabolism 1"	"小頭症, 低身長, およびグルコース代謝障害1"		OMIM:616033	
MONDO:0000209	prenatal-onset spinal muscular atrophy with congenital bone fractures	spinal muscular atrophy with congenital bone fractures|SMABF	先天性骨折を伴う出生前発症脊髄性筋萎縮症		OMIMPS:616866	Orphanet:486811
MONDO:0000210	thiopurine metabolic disease		チオプリン代謝疾患		OMIMPS:610460	
